Query_Gene	Target_Gene	Correlation
Uv8b_02153	Uv8b_03621	-0.8679
Uv8b_02153	UV8b_02893	0.7812
Uv8b_02153	UV8b_04239	0.8787
Uv8b_02153	UV8b_04690	0.8083
Uv8b_02153	UV8b_06528	0.8162
Uv8b_02153	UV8b_07865	0.8715
Uv8b_03621	UV8b_02893	-0.9430
Uv8b_03621	UV8b_04239	-0.9547
Uv8b_03621	UV8b_04690	-0.9618
Uv8b_03621	UV8b_06528	-0.9508
Uv8b_03621	UV8b_07865	-0.9786
UV8b_02893	UV8b_04239	0.9635
UV8b_02893	UV8b_04690	0.9560
UV8b_02893	UV8b_06528	0.9544
UV8b_02893	UV8b_07865	0.9577
UV8b_04239	UV8b_04690	0.9750
UV8b_04239	UV8b_06528	0.9702
UV8b_04239	UV8b_07865	0.9848
UV8b_04690	UV8b_06528	0.9943
UV8b_04690	UV8b_07865	0.9921
UV8b_06528	UV8b_07865	0.9904
